id,name,category,email,website,phone,trigger,score,source
osm-node-276541019,Nobel Salon,hairdresser,anapbm@gmail.com,https://nobelsalon.com,+1-858-554-1832,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-448043310,El Pescador Fish Market,restaurant,elpescadorfishmarket@gmail.com,https://www.elpescadorfishmarket.com/,+1-858-456-2526,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-473374416,Waterbar,restaurant,info@waterbarsd.com,https://www.waterbarsd.com,+1-858-768-2262,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-530764580,Filippi's Pizza Grotto Little Italy,restaurant,goappr@gmail.com,https://realcheesepizza.com/little-italy,+1-619-232-5094,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-534062433,Loving Hut,restaurant,sandiego@lovinghut.us,https://lovinghut.us/sandiego,+1 619 683 9490,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-577423393,George's At The Cove,restaurant,info@georgesatthecove.com,https://www.georgesatthecove.com/,+1-858-454-4244,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596004653,The Deck at Moonshine Flats,restaurant,info@moonshineflats.com,https://thedecksd.com/,+1-619-255-7625,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596016694,Rice Chicken,restaurant,eat@ricechickensd.com,https://www.ricechickensd.com,+1 858-365-7447,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596134829,Abbey's Real Texas BBQ,restaurant,info@blync.io,https://www.abbeystexasbbq.com/,+1-858-566-2333,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596174313,So In Love Lashes,beauty,soinlovelashes@gmail.com,https://www.soinlovelashes.com,+1-619-837-3575,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596198919,La Jolla Hand Car Wash,car_wash,lajollahandcarwash@gmail.com,https://lajollahandcarwash.com/,+1-858-456-1170,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596721615,Key and Cleaver,restaurant,jennipher@keyandcleaver.com,https://www.keyandcleaver.com/,+1 619-207-4738,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596783537,Grand Ole BBQ,restaurant,andy@grandolebbq.com,https://grandolebbq.com/,+1-619-759-0637,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596895493,Fogo de Chão,restaurant,sandiego@fogo.com,https://www.fogodechao.com/location/san-diego,+1 619-338-0500,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-596955189,Pizzeria Luigi,restaurant,getaslice@pizzerialuigi.com,https://pizzerialuigi.com/,+1 619 539 7025,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-597029453,Pacific Cafe and Catering,cafe,actri.pacificcafe@gmail.com,https://www.pacificcafecatering.com/,+1-858-350-2700,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-597034337,SGS Artificial Grass San Diego,gardener,info@artificialgrasssandiego.org,https://www.artificialgrasssandiego.org,+1-619-314-5970,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-597138034,Taproom,restaurant,mgmt@sdtaproom.com,https://taproombeerco.com/,+1-619-539-7738,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-597190201,Miguel's Mexican Food,restaurant,jobs@brigantine.com,https://www.miguels-cocina.com/,+1-619-224-2401,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-766290709,Crazee Burger,restaurant,crazeeburgersd@gmail.com,https://crazeeburger.com,+1-619-282-6044,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-965699423,Kindred,restaurant,you@email.com,https://barkindred.com,+1-619-546-9653,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-965701392,Harland,cafe,info@harlandbeer.com,https://harlandbeer.com/,+1-619-573-4433,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-966306169,Rudford's,restaurant,nicholas@rudfords.com,https://www.rudfords.com,+1-619-282-8423,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-1041765094,Kansas City Barbeque,restaurant,info@kcbbq.net,https://www.kcbbq.net/,+1-619-231-9680,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-1257277099,Chennai Dosa Hut,restaurant,contact@imenu4u.com,https://chennaidosasd.com/,+1-858-566-7300,missed-call risk: service business with phone-driven bookings; public contact channel visible,90,OpenStreetMap public business tags + official website email scrape
osm-node-274193511,Thai Time 3,restaurant,sdthaitime3@gmail.com,https://www.thaitime3.com,,missed-call risk: service business with phone-driven bookings; public contact channel visible,80,OpenStreetMap public business tags + official website email scrape
osm-node-448039581,Java Earth Cafe,cafe,support@phlox.com,https://javaearthcafe.com/,,missed-call risk: service business with phone-driven bookings; public contact channel visible,80,OpenStreetMap public business tags + official website email scrape
osm-node-596605690,The Broken Yolk Cafe,restaurant,gaslamp@brokenyolkcafe.com,https://www.thebrokenyolkcafe.com/location/broken-yolk-cafe-gaslamp-downtown/,,missed-call risk: service business with phone-driven bookings; public contact channel visible,80,OpenStreetMap public business tags + official website email scrape
osm-node-596795200,Blue Ocean/Harumama,restaurant,bohm.lj.ca@gmail.com,https://www.harumamasd.com/la-jolla-menu,,missed-call risk: service business with phone-driven bookings; public contact channel visible,80,OpenStreetMap public business tags + official website email scrape
osm-node-735982620,Olive Cafe,cafe,info@indiantypefoundry.com,https://olivecafe.biz/,,missed-call risk: service business with phone-driven bookings; public contact channel visible,80,OpenStreetMap public business tags + official website email scrape
osm-node-786221751,Indya,restaurant,eatindya@gmail.com,https://eatindya.com/,,missed-call risk: service business with phone-driven bookings; public contact channel visible,80,OpenStreetMap public business tags + official website email scrape
osm-node-883678101,Tintos y Blancos,restaurant,info@tyb.cr,https://www.tintosyblancos.com/,,missed-call risk: service business with phone-driven bookings; public contact channel visible,80,OpenStreetMap public business tags + official website email scrape
osm-node-273607070,Leucadia Pizzeria & Italian Restaurant,restaurant,,https://leucadiapizza.com/utc,+1-858-597-2222,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-273607369,Egglet,restaurant,,https://egglet.menu11.com,+1-619-990-6812,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-353135501,Goi Cuon,restaurant,,https://goicuonsd.com,+1 619-230-5666,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-353135502,Roberto's Taco Shop,restaurant,,https://robertostacoshopsd.com,+1 619-693-5040,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-365356217,The Boiling Crab,restaurant,,https://theboilingcrab.com/locations/san-diego/,+1-858-695-9025,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-365356713,Ryoma Ramen,restaurant,,https://www.ramenryoma.net/,+1-619-539-7296,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-368173980,Brigantine Seafood and Oyster Bar,restaurant,,https://www.brigantine.com/locations/portside-pier/,+1-619-719-4960,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-448043311,Fresheria,restaurant,,https://www.lafresheria.com/,+1-858-551-8786,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-462068615,PopUp Bagels,restaurant,,https://www.popupbagels.com,+1 855-747-6347,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-561107739,Peet's Coffee,cafe,,"https://www.peets.com/pages/store-locator?stockist-query=San%20Diego,%20CA%2092103,%20USA&selected=Hillcrest",+1-619-296-5995,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-596039333,La Familia Restaurant & Bar,restaurant,,https://lafamiliasandiego.com,+1-619-280-9940,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-596075295,IHOP,restaurant,,https://restaurants.ihop.com/en-us/ca/san-diego/breakfast-16759-bernardo-center-dr-3548,+1 858-375-5788,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-596111117,Thao Automotive Repair,car_repair,,https://www.yelp.com/biz/thao-auto-repair-san-diego,+1-619-640-4606,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-596143314,Denny's,restaurant,,https://www.dennys.com/,+1-858-578-9090,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-596151105,Il Giardino di Lilli,cafe,,https://lillilajolla.com/,+1-858-203-3926,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-596246527,Havana Kitchen,restaurant,,https://www.havanakitchenca.com/,+1-858-525-4320,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-596322512,Dunedin New Zealand Eats,restaurant,,https://dnp-sd.com/,+1-619-255-8566,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
osm-node-596424512,K Sandwiches,restaurant,,https://www.ksandwiches.com,+1 858-384-7373,missed-call risk: service business with phone-driven bookings; public contact channel visible,75,OpenStreetMap public business tags + official website email scrape
